id,rmse
3430,10.008878707885742
952,30.03228187561035
1392,7.847925186157227
532,30.710601806640625
3173,13.701950073242188
262,10.612709999084473
659,12.321320533752441
442,14.229817390441895
1113,9.838947296142578
932,18.136028289794922
820,7.764414310455322
2657,27.976272583007812
225,16.139856338500977
129,13.571093559265137
3248,15.838231086730957
2373,17.093021392822266
1482,12.219019889831543
2931,33.64821243286133
494,11.386008262634277
210,22.71186065673828
882,14.927574157714844
197,27.12685775756836
2980,17.39192008972168
3313,13.882810592651367
2638,19.835723876953125
880,16.53438949584961
1325,13.954004287719727
1823,10.362539291381836
230,20.861083984375
396,22.945327758789062
1744,11.648056030273438
875,30.279754638671875
1728,23.93773651123047
583,8.022064208984375
735,34.35409927368164
884,33.70555114746094
1693,14.979769706726074
1713,10.426648139953613
504,13.795848846435547
2296,9.229286193847656
3054,13.217218399047852
1835,36.81932830810547
1546,42.288787841796875
1722,10.6831636428833
809,14.289204597473145
974,32.366172790527344
1983,8.644490242004395
2561,10.179001808166504
256,35.393455505371094
1265,10.973328590393066
565,33.42991256713867
3425,11.888720512390137
3172,13.073946952819824
3339,15.77060317993164
1150,10.219805717468262
271,12.84284496307373
567,14.251886367797852
2967,14.397453308105469
3018,26.140642166137695
1056,11.327199935913086
4,30.711843490600586
289,12.363508224487305
2556,7.065319061279297
2136,42.20621871948242
2227,10.013572692871094
2022,27.40325164794922
1464,28.646291732788086
2228,10.754532814025879
3150,9.953191757202148
921,32.65306091308594
2410,11.024245262145996
1505,31.540855407714844
865,15.444513320922852
848,16.078577041625977
53,31.932933807373047
2555,28.773521423339844
2581,11.996559143066406
900,30.46883773803711
3176,18.046585083007812
588,35.55198287963867
2915,31.79555320739746
351,15.128401756286621
1055,19.160024642944336
993,17.90398597717285
201,18.637653350830078
3194,41.319515228271484
1520,9.197998046875
1617,33.58314895629883
219,11.939420700073242
1927,18.33792495727539
2003,15.232614517211914
3482,25.144588470458984
2078,13.268362045288086
643,13.63916015625
1078,15.512524604797363
113,27.749244689941406
326,15.126840591430664
2713,17.20579719543457
2011,11.819538116455078
151,32.704139709472656
1600,22.28118133544922
1341,32.713130950927734
2038,12.22463321685791
2905,9.769237518310547
330,12.951059341430664
3285,29.114906311035156
2337,12.899201393127441
1212,30.565263748168945
541,26.916242599487305
3212,11.227980613708496
806,9.620450973510742
1034,10.274539947509766
1374,20.739049911499023
3483,16.137903213500977
2264,25.96978759765625
1446,16.326190948486328
2907,26.015378952026367
2542,33.172210693359375
1284,11.653080940246582
2690,9.608494758605957
972,8.753434181213379
2362,32.96913528442383
2150,33.55845642089844
2075,31.899314880371094
2416,32.97695541381836
958,13.855182647705078
3240,32.385772705078125
1582,11.143994331359863
1937,30.549678802490234
2430,6.662432670593262
1290,28.940000534057617
3056,28.543556213378906
3439,12.387474060058594
490,10.372234344482422
2205,38.12854766845703
3157,11.906534194946289
2780,14.472151756286621
229,27.464725494384766
